Geração Tamanho
0 15242497.826128
7089 12086783.560622
14370 10384073.428560
21512 9417990.635861
28610 8707194.426343
35728 8144479.087712
43052 7718902.290753
50374 7383740.742586
57636 7098353.626970
64791 6864035.999263
71865 6617318.658530
79145 6426306.773559
86372 6259308.682133
93670 6096162.469732
100912 5962287.830430
108170 5821382.833857
114662 5726785.229939
121161 5617619.076104
128095 5543519.826419
135384 5441880.438253
142674 5358664.681169
149666 5279177.210732
157062 5214755.767804
164346 5149341.552654
171165 5089734.976914
178216 5041219.467093
185598 4970110.724457
192970 4913515.381533
200320 4871133.719196
207693 4826935.691453
215085 4771218.216429
222236 4732683.502409
229585 4700641.746658
236932 4640466.009790
244148 4598006.723450
251491 4549817.521288
258903 4505386.605208
266323 4476532.871250
273746 4433032.209641
281170 4397624.143006
288597 4367262.972514
296025 4331075.908366
303451 4306262.771030
310873 4279134.302584
318298 4260547.821134
325721 4225650.837000
333135 4202126.549665
340557 4180463.490231
347976 4155983.981219
355403 4135550.606787
362831 4113445.774628
370187 4092617.299120
377442 4070606.608332
384845 4053206.456751
392249 4034129.978636
399652 4013540.579058
407055 3992821.976135
414459 3973978.852466
421872 3943614.621519
429284 3922211.657545
436693 3896188.833619
444104 3880637.848359
451517 3864094.551441
458932 3845152.170465
466342 3822093.264160
473757 3804035.476905
481173 3790637.004471
488586 3775748.722122
496002 3763836.858299
503415 3748598.246987
510822 3729877.658710
518241 3718709.693614
525649 3701476.710969
533052 3688893.063018
540268 3674296.161014
547606 3662985.411782
554856 3649774.503650
562157 3636573.585716
569576 3626568.660661
576996 3615343.891947
584416 3603513.518715
591835 3592170.618934
599256 3582644.893317
606678 3572354.917685
614096 3562638.067710
621522 3550578.928081
628941 3542157.233017
636367 3533369.295472
643778 3519459.151214
651119 3503294.602376
658488 3495077.335376
665903 3486449.273503
673304 3479428.151169
680712 3475104.934469
688119 3465367.549139
695528 3460066.994296
702932 3450128.100713
710340 3442309.911074
717758 3430063.908903
725180 3422206.420913
732591 3414633.393406
740013 3405820.632173
747434 3396677.861954
754696 3390912.167424
761951 3384129.335782
769256 3376868.292251
776446 3372504.436201
783712 3366688.853847
790857 3357824.234469
798188 3349127.203553
805442 3339848.135190
812810 3333315.746574
820224 3326701.056443
827628 3322508.386587
834857 3315809.683002
842245 3308420.124416
849595 3300073.621132
856953 3290997.233128
864312 3284013.762362
871676 3277812.084410
878724 3272123.080338
886049 3267579.822842
893323 3262183.989271
900736 3256552.650708
908146 3248206.178175
915565 3240894.518741
922983 3235645.942266
930405 3230793.906960
937825 3224203.917248
945244 3216763.984978
952663 3208786.330367
960089 3202863.635318
967483 3199552.122740
974909 3191804.572028
982333 3188100.067624
989758 3181689.269832
997053 3178467.544356
1004379 3174061.000114
1011796 3166986.219316
1019220 3161081.483071
1026639 3157864.235652
1034064 3153356.548740
1041485 3144529.839721
1048911 3139713.891838
1056340 3132803.166837
1063759 3124102.286683
1071179 3114872.597040
1078589 3107066.106249
1086006 3103181.904519
1093425 3100035.405419
1100837 3097198.523057
1108260 3092431.731203
1115672 3089316.315412
1123042 3082392.486960
1130309 3078570.601579
1137606 3074336.649368
