Geração Tamanho
0 5877651.098502
249 5877651.098502
500 5877651.098502
751 5877651.098502
1002 5877651.098502
1253 5877651.098502
1503 5877651.098502
1754 5877651.098502
2005 5877651.098502
2256 5877651.098502
2507 5877651.098502
2758 5877651.098502
3009 5877651.098502
3260 5877651.098502
3507 5877651.098502
3758 5877651.098502
4009 5877651.098502
4260 5877651.098502
4511 5877651.098502
4762 5877651.098502
5013 5877651.098502
5264 5877651.098502
5515 5877651.098502
5766 5877651.098502
6016 5877651.098502
6262 5877651.098502
6511 5877651.098502
6757 5877651.098502
7005 5877651.098502
7255 5877651.098502
7505 5877651.098502
7751 5877651.098502
7987 5877651.098502
