Geração Tamanho
0 5924034.456021
222 5923560.196745
447 5923417.567820
659 5923417.567820
892 5923417.567820
1135 5923417.567820
1360 5923417.567820
1601 5923417.567820
1842 5923417.567820
2070 5923417.567820
2299 5923417.567820
2545 5923417.567820
2786 5923417.567820
2993 5923417.567820
3239 5923417.567820
3486 5923417.567820
3735 5923417.567820
3966 5923417.567820
4197 5923417.567820
4416 5923417.567820
4656 5923417.567820
4890 5923417.567820
5135 5923417.567820
5383 5923417.567820
5629 5923417.567820
5850 5923417.567820
6061 5923417.567820
6276 5923417.567820
6487 5923417.567820
6722 5923417.567820
6935 5923417.567820
7178 5923417.567820
7419 5923417.567820
7659 5923417.567820
7891 5923417.567820
